Date;Open;High;Low;Close;Adj Close;Volume
03/08/2018;14.088000;14.205900;13.640500;14.134600;14.134600;70449300
04/08/2018;14.112700;14.455100;13.569100;13.842400;13.842400;60865200
05/08/2018;13.858700;13.897800;13.287500;13.623200;13.623200;43000300
06/08/2018;13.687600;13.975700;13.496400;13.699100;13.699100;46799600
07/08/2018;13.658500;13.908800;13.128600;13.146100;13.146100;45119500
08/08/2018;13.128900;13.139200;11.980700;12.143700;12.143700;44898500
09/08/2018;12.161600;12.871900;12.100100;12.858000;12.858000;41389000
10/08/2018;12.768100;12.821100;11.807300;12.130800;12.130800;37026400
11/08/2018;12.110600;12.158800;11.368600;11.736600;11.736600;29253100
12/08/2018;11.687600;11.864700;11.504700;11.741800;11.741800;23290300
13/08/2018;11.771200;11.946700;10.184100;10.228200;10.228200;34827100
14/08/2018;10.304500;10.304500;8.662660;9.420110;9.420110;39515200
15/08/2018;9.407960;10.591800;9.403210;9.463010;9.463010;42994900
16/08/2018;9.530520;9.984950;9.393820;9.802330;9.802330;24709700
17/08/2018;9.782300;10.867800;9.724950;10.867800;10.867800;37502400
18/08/2018;10.784900;10.965100;9.540270;9.907580;9.907580;27803700
19/08/2018;9.921420;10.300600;9.754010;10.156200;10.156200;21218500
20/08/2018;10.141700;10.203800;9.643620;9.700930;9.700930;17617700
21/08/2018;9.680340;9.848150;9.424830;9.714630;9.714630;13228100
22/08/2018;9.735940;10.196400;9.257280;9.539730;9.539730;23929500
23/08/2018;9.498950;9.715040;9.402620;9.715040;9.715040;17327500
24/08/2018;9.763520;10.234700;9.562290;10.234700;10.234700;22814900
25/08/2018;10.193300;10.248800;9.982870;10.135800;10.135800;19561400
26/08/2018;10.114200;10.274200;9.808650;10.185600;10.185600;22551200
27/08/2018;10.219000;11.335600;10.127800;11.212800;11.212800;44953500
28/08/2018;11.160700;11.499600;10.841500;11.486100;11.486100;43860800
29/08/2018;11.471000;11.471000;10.907500;11.173500;11.173500;33530600
30/08/2018;11.169200;11.186700;10.384800;10.762600;10.762600;23247800
31/08/2018;10.760200;11.022500;10.595800;11.013800;11.013800;22638200
01/09/2018;11.026600;11.542300;11.026600;11.379400;11.379400;29776300
02/09/2018;11.433400;11.463800;11.136100;11.299400;11.299400;21757400
